Date,district_name,tasmax,pr,tasmax_c,district,tmax_95th,sm_5th,heat_stress,moist_stress,csi_score,year
2030-01-01,umaria,296.8808504305086,0.0,23.73085043050861,umaria,43.09,0.59,False,True,0.5,2030
2030-01-01,vidisha,296.7528223543086,0.0,23.602822354308614,vidisha,43.21,0.55,False,True,0.5,2030
2030-01-01,westnimar,302.33471444408474,0.0,29.18471444408476,westnimar,43.471,0.59,False,True,0.5,2030
2030-01-02,agarmalwa,297.44139114179114,0.0,24.291391141791166,agarmalwa,43.6,0.59,False,True,0.5,2030
2030-01-02,alirajpur,301.58349404683923,0.0,28.433494046839257,alirajpur,42.561,0.57,False,True,0.5,2030
2030-01-02,anuppur,296.3519592958833,0.0,23.20195929588334,anuppur,41.741,0.39,False,True,0.5,2030
2030-01-02,ashoknagar,295.1914840848752,0.0,22.041484084875208,ashoknagar,43.690999999999995,0.57,False,True,0.5,2030
2030-01-02,balaghat,299.0153003951408,0.0,25.86530039514082,balaghat,42.42,0.53,False,True,0.5,2030
2030-01-02,barwani,302.38947020404555,0.0,29.239470204045574,barwani,42.870999999999995,0.59,False,True,0.5,2030
2030-01-02,betul,298.92728224418147,0.0,25.777282244181492,betul,41.63,0.57,False,True,0.5,2030
2030-01-02,bhind,295.275521250387,0.0,22.12552125038701,bhind,45.07,0.33,False,True,0.5,2030
2030-01-02,bhopal,297.22688983584834,0.0,24.076889835848363,bhopal,42.83,0.58,False,True,0.5,2030
2030-01-02,burhanpur,302.0455516625804,0.0,28.89555166258043,burhanpur,43.321,0.59,False,True,0.5,2030
2030-01-02,chhatarpur,295.68807499128155,0.0,22.538074991281576,chhatarpur,44.59,0.52,False,True,0.5,2030
2030-01-02,chhindwara,298.05575610131365,0.0,24.90575610131367,chhindwara,41.81,0.58,False,True,0.5,2030
2030-01-02,damoh,297.01856571057175,0.0,23.868565710571772,damoh,43.881,0.57,False,True,0.5,2030
2030-01-02,datia,294.4994343914478,0.0,21.3494343914478,datia,45.011,0.34,False,True,0.5,2030
2030-01-02,dewas,299.530723300532,0.0,26.380723300531997,dewas,43.651,0.59,False,True,0.5,2030
2030-01-02,dhar,300.6704419223903,0.0,27.52044192239032,dhar,42.690999999999995,0.59,False,True,0.5,2030
2030-01-02,dindori,296.2906853146023,0.0,23.140685314602308,dindori,41.05,0.48,False,True,0.5,2030
2030-01-02,eastnimar,301.2802410963106,0.0,28.130241096310613,eastnimar,43.75,0.59,False,True,0.5,2030
2030-01-02,guna,295.544029811136,0.0,22.394029811136022,guna,43.01,0.57,False,True,0.5,2030
2030-01-02,gwalior,294.4026335211147,0.0,21.252633521114717,gwalior,44.550999999999995,0.34,False,True,0.5,2030
2030-01-02,harda,299.88343341934007,0.0,26.733433419340088,harda,43.75,0.59,False,True,0.5,2030
2030-01-02,hoshangabad,298.7261869747899,0.0,25.576186974789948,hoshangabad,42.78,0.5,False,True,0.5,2030
2030-01-02,indore,299.54991910648175,0.0,26.399919106481775,indore,42.841,0.59,False,True,0.5,2030
2030-01-02,jabalpur,297.94969474605574,0.0,24.799694746055764,jabalpur,43.351,0.59,False,True,0.5,2030
2030-01-02,jhabua,300.35081685181876,0.0,27.200816851818786,jhabua,42.52,0.56,False,True,0.5,2030
2030-01-02,katni,296.9505153535454,0.0,23.80051535354545,katni,43.09,0.59,False,True,0.5,2030
2030-01-02,mandla,297.98981213395143,0.0,24.839812133951455,mandla,42.11199999999999,0.58,False,True,0.5,2030
2030-01-02,mandsaur,297.12699913779653,0.0,23.976999137796554,mandsaur,42.721,0.58,False,True,0.5,2030
2030-01-02,morena,294.8146752828495,0.0,21.664675282849544,morena,45.021,0.33,False,True,0.5,2030
2030-01-02,narsimhapur,298.121680724401,0.0,24.97168072440104,narsimhapur,43.8,0.59,False,True,0.5,2030
2030-01-02,neemuch,296.5704536987891,0.0,23.420453698789117,neemuch,42.230999999999995,0.47,False,True,0.5,2030
2030-01-02,panna,296.0223921179287,0.0,22.87239211792871,panna,43.781,0.46,False,True,0.5,2030
2030-01-02,raisen,297.77729293600345,0.0,24.62729293600347,raisen,44.15,0.59,False,True,0.5,2030
2030-01-02,rajgarh,297.11808870935556,0.0,23.968088709355584,rajgarh,43.641,0.59,False,True,0.5,2030
2030-01-02,ratlam,298.753807219262,0.0,25.603807219262023,ratlam,42.301999999999985,0.59,False,True,0.5,2030
2030-01-02,rewa,296.2521105212648,0.0,23.10211052126482,rewa,44.761,0.45,False,True,0.5,2030
2030-01-02,sagar,296.859318505199,0.0,23.709318505199008,sagar,43.43,0.58,False,True,0.5,2030
2030-01-02,satna,295.9989617132957,0.0,22.84896171329575,satna,43.79,0.46,False,True,0.5,2030
2030-01-02,sehore,298.57028405389264,0.0,25.420284053892658,sehore,43.28,0.59,False,True,0.5,2030
2030-01-02,seoni,298.566736264752,0.0,25.416736264752046,seoni,42.221,0.59,False,True,0.5,2030
2030-01-02,shahdol,296.3923578522727,0.0,23.242357852272733,shahdol,42.91,0.59,False,True,0.5,2030
2030-01-02,shajapur,298.1375499879471,0.0,24.987549987947148,shajapur,43.08,0.59,False,True,0.5,2030
2030-01-02,sheopur,294.79458552424416,0.0,21.644585524244178,sheopur,44.5,0.36,False,True,0.5,2030
2030-01-02,shivpuri,294.49438354183013,0.0,21.344383541830155,shivpuri,43.550999999999995,0.59,False,True,0.5,2030
2030-01-02,sidhi,296.0643108760085,0.0,22.91431087600853,sidhi,43.071,0.47,False,True,0.5,2030
2030-01-02,singrauli,295.8960127696366,0.0,22.74601276963665,singrauli,42.87,0.38,False,True,0.5,2030
2030-01-02,tikamgarh,295.2791662421053,0.0,22.129166242105327,tikamgarh,44.191999999999986,0.46,False,True,0.5,2030
2030-01-02,ujjain,298.6815854199327,0.0,25.531585419932696,ujjain,42.5,0.59,False,True,0.5,2030
2030-01-02,umaria,296.707297953471,0.0,23.55729795347105,umaria,43.09,0.59,False,True,0.5,2030
2030-01-02,vidisha,296.5990217253111,0.0,23.449021725311127,vidisha,43.21,0.55,False,True,0.5,2030
2030-01-02,westnimar,301.8736735071838,0.0,28.723673507183832,westnimar,43.471,0.59,False,True,0.5,2030
2030-01-03,agarmalwa,297.9879832267762,0.0,24.837983226776203,agarmalwa,43.6,0.59,False,True,0.5,2030
2030-01-03,alirajpur,301.77078505518637,0.0,28.62078505518639,alirajpur,42.561,0.57,False,True,0.5,2030
2030-01-03,anuppur,295.87356547172493,0.0,22.723565471724953,anuppur,41.741,0.39,False,True,0.5,2030
2030-01-03,ashoknagar,295.8577950237053,0.0,22.70779502370533,ashoknagar,43.690999999999995,0.57,False,True,0.5,2030
2030-01-03,balaghat,298.33970522938745,0.0,25.18970522938747,balaghat,42.42,0.53,False,True,0.5,2030
2030-01-03,barwani,302.41535558917485,0.0,29.265355589174874,barwani,42.870999999999995,0.59,False,True,0.5,2030
2030-01-03,betul,299.0951757362421,0.0,25.945175736242106,betul,41.63,0.57,False,True,0.5,2030
2030-01-03,bhind,295.59246061739395,0.0,22.442460617393976,bhind,45.07,0.33,False,True,0.5,2030
2030-01-03,bhopal,297.5798777979934,0.0,24.429877797993413,bhopal,42.83,0.58,False,True,0.5,2030
2030-01-03,burhanpur,302.144778702107,0.0,28.994778702107,burhanpur,43.321,0.59,False,True,0.5,2030
2030-01-03,chhatarpur,296.016492341285,0.0,22.86649234128504,chhatarpur,44.59,0.52,False,True,0.5,2030
2030-01-03,chhindwara,297.8527104083647,0.0,24.702710408364737,chhindwara,41.81,0.58,False,True,0.5,2030
2030-01-03,damoh,297.2815072606783,0.0,24.131507260678347,damoh,43.881,0.57,False,True,0.5,2030
2030-01-03,datia,294.9479778628655,0.0,21.797977862865537,datia,45.011,0.34,False,True,0.5,2030
2030-01-03,dewas,299.81739778524843,0.0,26.667397785248454,dewas,43.651,0.59,False,True,0.5,2030
2030-01-03,dhar,300.8970950323328,0.0,27.747095032332822,dhar,42.690999999999995,0.59,False,True,0.5,2030
2030-01-03,dindori,295.8280759599474,0.0,22.67807595994742,dindori,41.05,0.48,False,True,0.5,2030
2030-01-03,eastnimar,301.38733594940936,0.0,28.237335949409385,eastnimar,43.75,0.59,False,True,0.5,2030
2030-01-03,guna,296.186499253556,0.0,23.03649925355603,guna,43.01,0.57,False,True,0.5,2030
2030-01-03,gwalior,294.95146211292274,0.0,21.801462112922763,gwalior,44.550999999999995,0.34,False,True,0.5,2030
2030-01-03,harda,300.09415284451285,0.0,26.94415284451287,harda,43.75,0.59,False,True,0.5,2030
2030-01-03,hoshangabad,298.8868270643219,0.0,25.736827064321915,hoshangabad,42.78,0.5,False,True,0.5,2030
2030-01-03,indore,299.83903637667237,0.0,26.68903637667239,indore,42.841,0.59,False,True,0.5,2030
2030-01-03,jabalpur,297.90199500680774,0.0,24.75199500680776,jabalpur,43.351,0.59,False,True,0.5,2030
2030-01-03,jhabua,300.68984855919825,0.0,27.539848559198276,jhabua,42.52,0.56,False,True,0.5,2030
2030-01-03,katni,297.0647135830515,0.0,23.914713583051537,katni,43.09,0.59,False,True,0.5,2030
2030-01-03,mandla,297.603482823172,0.0,24.45348282317201,mandla,42.11199999999999,0.58,False,True,0.5,2030
2030-01-03,mandsaur,297.7038675580273,0.0,24.55386755802732,mandsaur,42.721,0.58,False,True,0.5,2030
2030-01-03,morena,295.3133890574724,0.0,22.163389057472443,morena,45.021,0.33,False,True,0.5,2030
2030-01-03,narsimhapur,298.08214789466757,0.0,24.932147894667594,narsimhapur,43.8,0.59,False,True,0.5,2030
2030-01-03,neemuch,297.1209753620007,0.0,23.97097536200073,neemuch,42.230999999999995,0.47,False,True,0.5,2030
2030-01-03,panna,296.34168390558455,0.0,23.19168390558457,panna,43.781,0.46,False,True,0.5,2030
2030-01-03,raisen,297.9739883888924,0.0,24.823988388892417,raisen,44.15,0.59,False,True,0.5,2030
2030-01-03,rajgarh,297.6362344212273,0.0,24.486234421227323,rajgarh,43.641,0.59,False,True,0.5,2030
2030-01-03,ratlam,299.2579744529989,0.0,26.107974452998917,ratlam,42.301999999999985,0.59,False,True,0.5,2030
2030-01-03,rewa,296.37051717538327,0.0,23.220517175383293,rewa,44.761,0.45,False,True,0.5,2030
2030-01-03,sagar,297.2221028193131,0.0,24.072102819313102,sagar,43.43,0.58,False,True,0.5,2030
