district_name,year,csi_score,risk_tier
agarmalwa,2030,0.5,5
alirajpur,2030,0.5,5
anuppur,2030,0.5016501650165016,5
ashoknagar,2030,0.5016501650165016,5
balaghat,2030,0.504950495049505,5
barwani,2030,0.5016501650165016,5
betul,2030,0.504950495049505,5
bhind,2030,0.504950495049505,5
bhopal,2030,0.5033003300330033,5
burhanpur,2030,0.504950495049505,5
chhatarpur,2030,0.5,5
chhindwara,2030,0.5016501650165016,5
damoh,2030,0.5,5
datia,2030,0.5033003300330033,5
dewas,2030,0.5,5
dhar,2030,0.5,5
dindori,2030,0.5016501650165016,5
eastnimar,2030,0.5016501650165016,5
guna,2030,0.5066006600660066,5
gwalior,2030,0.504950495049505,5
harda,2030,0.5,5
hoshangabad,2030,0.5066006600660066,5
indore,2030,0.5,5
jabalpur,2030,0.5,5
jhabua,2030,0.5,5
katni,2030,0.5033003300330033,5
mandla,2030,0.504950495049505,5
mandsaur,2030,0.5,5
morena,2030,0.504950495049505,5
narsimhapur,2030,0.5,5
neemuch,2030,0.5016501650165016,5
panna,2030,0.504950495049505,5
raisen,2030,0.5,5
rajgarh,2030,0.5,5
ratlam,2030,0.5,5
rewa,2030,0.5033003300330033,5
sagar,2030,0.5033003300330033,5
satna,2030,0.504950495049505,5
sehore,2030,0.5,5
seoni,2030,0.504950495049505,5
shahdol,2030,0.5,5
shajapur,2030,0.5,5
sheopur,2030,0.504950495049505,5
shivpuri,2030,0.5066006600660066,5
sidhi,2030,0.5082508250825083,5
singrauli,2030,0.5099009900990099,5
tikamgarh,2030,0.504950495049505,5
ujjain,2030,0.5,5
umaria,2030,0.5,5
vidisha,2030,0.5033003300330033,5
westnimar,2030,0.5016501650165016,5
