Date,district_name,mean
2010-01-01,,0.5355055591254945
2010-01-01,,0.40522958723156677
2010-01-01,,0.4322495016500961
2010-01-01,,0.6075164764154237
2010-01-01,,0.6086609190641381
2010-01-01,,0.4301153946167644
2010-01-01,,0.5939341011014224
2010-01-01,,0.5865913463178242
2010-01-01,,0.652792379977241
2010-01-01,,0.5181108349116869
2010-01-01,,0.5764232854007351
2010-01-01,,0.571273068563324
2010-01-01,,0.5797302276280816
2010-01-01,,0.576035599470159
2010-01-01,,0.6397272253447291
2010-01-01,,0.5451360628336538
2010-01-01,,0.5504172115373028
2010-01-01,,0.5321127994775217
2010-01-01,,0.509940557472749
2010-01-01,,0.5247627325544465
2010-01-01,,0.7391697798130071
2010-01-01,,0.7112620860148857
2010-01-01,,0.6625068034577499
2010-01-01,,0.590396040857498
2010-01-01,,0.3780807648653895
2010-01-01,,0.5777542670648227
2010-01-01,,0.5482630527749721
2010-01-01,,0.5443601924972624
2010-01-01,,0.5329380322651881
2010-01-01,,0.6241120041729585
2010-01-01,,0.4020961449148835
2010-01-01,,0.5624662024415646
2010-01-01,,0.6613691724732755
2010-01-01,,0.5920956285309239
2010-01-01,,0.5113104931245737
2010-01-01,,0.5401678712123278
2010-01-01,,0.6238558427597498
2010-01-01,,0.5787276647805909
2010-01-01,,0.6838834479528348
2010-01-01,,0.5697838677994408
2010-01-01,,0.4878416528075579
2010-01-01,,0.684620610758309
2010-01-01,,0.45554297351116957
2010-01-01,,0.48574609441488314
2010-01-01,,0.5581532765915296
2010-01-01,,0.4831143802575107
2010-01-01,,0.5895367017791776
2010-01-01,,0.6582389249485734
2010-01-01,,0.5679560525436397
2010-01-01,,0.6807698062896066
2010-01-01,,0.5107191611778247
2010-01-17,,0.48271952601534823
2010-01-17,,0.3768707172813363
2010-01-17,,0.40447278739478354
2010-01-17,,0.6098338745081385
2010-01-17,,0.5775219503158472
2010-01-17,,0.3902869551414031
2010-01-17,,0.5429883994236001
2010-01-17,,0.5972994498855515
2010-01-17,,0.6378676874899114
2010-01-17,,0.4717884636382328
2010-01-17,,0.5773869853473521
2010-01-17,,0.5302790036333481
2010-01-17,,0.555412275313731
2010-01-17,,0.6154310430490362
2010-01-17,,0.6063356372883079
2010-01-17,,0.49243893485593776
2010-01-17,,0.5056348342547284
2010-01-17,,0.4785096548696987
2010-01-17,,0.5055342942700631
2010-01-17,,0.49830527768141825
2010-01-17,,0.7163968498673411
2010-01-17,,0.7032288362156611
2010-01-17,,0.6231739301772887
2010-01-17,,0.5815580662590806
2010-01-17,,0.35597580752887836
2010-01-17,,0.5731832844215224
2010-01-17,,0.5042248171544833
2010-01-17,,0.5081906721757841
2010-01-17,,0.5122637914603824
2010-01-17,,0.6120769453979857
2010-01-17,,0.38549643632526087
2010-01-17,,0.5337092386632163
2010-01-17,,0.6486375880175376
2010-01-17,,0.5522394410516723
2010-01-17,,0.46756122252379734
2010-01-17,,0.5412623102806886
