Date,district_name,tasmax,pr
2030-01-01,,297.5971500748082,0.0
2030-01-01,,301.91448180656124,0.0
2030-01-01,,296.5613614518121,0.0
2030-01-01,,295.4145274451217,0.0
2030-01-01,,299.2820253013808,0.0
2030-01-01,,302.84190291522833,0.0
2030-01-01,,299.4888730700925,0.0
2030-01-01,,295.4559547289943,0.0
2030-01-01,,297.3855834960938,0.0
2030-01-01,,302.64480904653567,0.0
2030-01-01,,295.83549666635497,0.0
2030-01-01,,298.38362119532303,0.0
2030-01-01,,297.09800778206596,0.0
2030-01-01,,294.8229023070323,0.0
2030-01-01,,299.83032554029717,0.0
2030-01-01,,300.99436013412577,0.0
2030-01-01,,296.48132316801286,0.0
2030-01-01,,301.7938744056516,0.0
2030-01-01,,295.7481652139525,0.0
2030-01-01,,294.75092899183926,0.0
2030-01-01,,300.3257928287893,0.0
2030-01-01,,299.0475055393252,0.0
2030-01-01,,299.8508310257668,0.0
2030-01-01,,298.0538548934698,0.0
2030-01-01,,300.60933979052123,0.0
2030-01-01,,297.07900183996725,0.0
2030-01-01,,298.1616870222771,0.0
2030-01-01,,297.2379790932401,0.0
2030-01-01,,295.13214191217077,0.0
2030-01-01,,298.27862666718687,0.0
2030-01-01,,296.6795754501416,0.0
2030-01-01,,296.1591406223289,0.0
2030-01-01,,297.9415171507979,0.0
2030-01-01,,297.2734907638066,0.0
2030-01-01,,298.9148122578874,0.0
2030-01-01,,296.4953643615958,0.0
2030-01-01,,296.9743613797333,0.0
2030-01-01,,296.2084839538103,0.0
2030-01-01,,298.8186736736225,0.0
2030-01-01,,298.7490001939098,0.0
2030-01-01,,296.60519812615627,0.0
2030-01-01,,298.3089246075563,0.0
2030-01-01,,295.1652763826364,0.0
2030-01-01,,294.83891744682086,0.0
2030-01-01,,296.3698908440421,0.0
2030-01-01,,296.2802368281664,0.0
2030-01-01,,295.490945992476,0.0
2030-01-01,,298.8680926326115,0.0
2030-01-01,,296.8808504305086,0.0
